Home/Neutral,PTS,Visitor/Neutral,PTS_1,Spread,Total,Result,Home_AdjOE,Home_Off_TO,Home_Off_OR,Home_Off_FTRate,Home_AdjDE,Home_Def_TO,Home_Def_OR,Home_Def_FTRate,Home_3P,Home_2P,Home_FT,Home_Tempo_Adj,Home_Avg_Poss_Length_Offense,Home_Avg_Poss_Length_Defense,Home_EffHgt,Home_Experience,Home_Continuity,Home_Best_Rank,Home_Top_50_Finishes,Home_opp_shooting_3P,Home_opp_shooting_2P,Home_opp_shooting_FT,Away_AdjOE,Away_Off_TO,Away_Off_OR,Away_Off_FTRate,Away_AdjDE,Away_Def_TO,Away_Def_OR,Away_Def_FTRate,Away_3P,Away_2P,Away_FT,Away_Tempo_Adj,Away_Avg_Poss_Length_Offense,Away_Avg_Poss_Length_Defense,Away_EffHgt,Away_Experience,Away_Continuity,Away_Best_Rank,Away_Top_50_Finishes,Away_opp_shooting_3P,Away_opp_shooting_2P,Away_opp_shooting_FT,Predicted_score_Home,Predicted_score_away,Predicted_tempo,Predicted_spread,Predicted_total,Predicted_Result
Washington,73,Colorado,63,10,136,1,106.1,20.3,26.5,31,100.2,18.4,33.5,25.9,32.1,49.9,75,69.1,17.1,17.3,1.2,106.1,35.5,15.64,4,29.5,49.5,70.8,106.8,19.9,32.7,32.2,93.8,20.9,25.3,32.1,32.1,50.3,68.1,69.6,16.3,17.8,1.3,106.8,49.5,13.95,1,32.5,46.4,70.7,67.35014958,70.77399958,69.35,3.42385,138.1241492,0
Washington St.,65,Utah,67,-2,132,0,110.7,19.7,32.3,28.3,98.7,16.7,26.3,30,35.8,46.7,71.6,63.9,19.2,17.8,0.7,110.7,35.2,9.39,1,32.2,50.9,67.2,109.2,18,31.8,30.5,95.5,16.3,28.8,24.6,34.7,49.6,71.6,66.3,17.7,18.3,1.3,109.2,58.9,15.63,5,28.4,43.6,65.9,67.41593212,67.02263212,65.1,-0.3933,134.4385642,1
California,43,Utah,58,-15,101,0,99.7,21.2,26.4,31.3,106.5,16.4,29.6,31.5,29.8,45.7,73.2,62.1,19.7,17.8,2,99.7,36.4,13.19,3,33.1,52.3,71.3,109.2,18,31.8,30.5,95.5,16.3,28.8,24.6,34.7,49.6,71.6,66.3,17.7,18.3,1.3,109.2,58.9,15.63,5,28.4,43.6,65.9,59.44265196,71.10365196,64.2,11.661,130.5463039,0
Stanford,70,Colorado,73,-3,143,0,110.3,19.4,31.8,30.4,103.6,19.4,25.2,28.2,32.8,51.8,71.3,65.5,18.1,18.1,1.5,110.3,72.4,19.7,8,34.9,49.9,73.2,106.8,19.9,32.7,32.2,93.8,20.9,25.3,32.1,32.1,50.3,68.1,69.6,16.3,17.8,1.3,106.8,49.5,13.95,1,32.5,46.4,70.7,68.47808925,71.23373925,67.55,2.75565,139.7118285,0
Washington,67,USC,80,-13,147,0,106.1,20.3,26.5,31,100.2,18.4,33.5,25.9,32.1,49.9,75,69.1,17.1,17.3,1.2,106.1,35.5,15.64,4,29.5,49.5,70.8,113,18.8,29.3,32.6,97.9,19.2,33.2,29,32.5,52.2,73.9,67.9,16.8,18.1,1.5,113,46.9,20.1,3,33.8,42,72.7,69.35154609,74.15354609,68.5,4.802,143.5050922,0
Washington St.,66,UCLA,67,-1,133,0,110.7,19.7,32.3,28.3,98.7,16.7,26.3,30,35.8,46.7,71.6,63.9,19.2,17.8,0.7,110.7,35.2,9.39,1,32.2,50.9,67.2,115.6,15.5,35.4,24.2,88.9,24.8,28.4,25.7,35.8,50.7,71.6,65.8,17.8,17.9,0.2,115.6,46.7,25.83,10,30.6,48.2,70,62.88269874,70.91564874,64.85,8.03295,133.7983475,0
Arizona St.,60,Arizona,69,-9,129,0,107.8,17.7,29.6,32.5,96.5,20.4,30.8,32.4,32.2,48.7,69.5,68.3,16.5,17.7,1,107.8,35,14.99,1,33,43,70.1,118.6,19.1,33.3,37.9,96.3,17.1,26.5,25.6,36.3,56.7,73.5,72.2,15.6,17,2.7,118.6,44.9,30,19,31.6,45.5,70.1,71.15522975,77.38272975,70.25,6.2275,148.5379595,0
California,80,Colorado,76,4,156,1,99.7,21.2,26.4,31.3,106.5,16.4,29.6,31.5,29.8,45.7,73.2,62.1,19.7,17.8,2,99.7,36.4,13.19,3,33.1,52.3,71.3,106.8,19.9,32.7,32.2,93.8,20.9,25.3,32.1,32.1,50.3,68.1,69.6,16.3,17.8,1.3,106.8,49.5,13.95,1,32.5,46.4,70.7,59.81238226,71.35068226,65.85,11.5383,131.1630645,0
Oregon,77,Oregon St.,68,9,145,1,113.5,19.3,32.3,33.4,99.3,17.2,27,23.4,31.2,54.3,69.4,66.7,17.9,17.8,2.4,113.5,48.4,22.5,6,33.6,46.4,78.5,100.7,21.2,23.7,34.7,103.1,18.3,30.9,33.8,33.9,46.3,73.1,63.4,18.8,18.2,1.1,100.7,21,7.63,0,32.3,49.3,71.1,74.13050545,61.83220545,65.05,-12.2983,135.9627109,1
Stanford,66,Utah,71,-5,137,0,110.3,19.4,31.8,30.4,103.6,19.4,25.2,28.2,32.8,51.8,71.3,65.5,18.1,18.1,1.5,110.3,72.4,19.7,8,34.9,49.9,73.2,109.2,18,31.8,30.5,95.5,16.3,28.8,24.6,34.7,49.6,71.6,66.3,17.7,18.3,1.3,109.2,58.9,15.63,5,28.4,43.6,65.9,67.96235894,71.07535894,65.9,3.113,139.0377179,0
Washington,49,UCLA,74,-25,123,0,106.1,20.3,26.5,31,100.2,18.4,33.5,25.9,32.1,49.9,75,69.1,17.1,17.3,1.2,106.1,35.5,15.64,4,29.5,49.5,70.8,115.6,15.5,35.4,24.2,88.9,24.8,28.4,25.7,35.8,50.7,71.6,65.8,17.8,17.9,0.2,115.6,46.7,25.83,10,30.6,48.2,70,62.24098589,74.77058589,67.45,12.5296,137.0115718,0
Washington St.,81,USC,71,10,152,1,110.7,19.7,32.3,28.3,98.7,16.7,26.3,30,35.8,46.7,71.6,63.9,19.2,17.8,0.7,110.7,35.2,9.39,1,32.2,50.9,67.2,113,18.8,29.3,32.6,97.9,19.2,33.2,29,32.5,52.2,73.9,67.9,16.8,18.1,1.5,113,46.9,20.1,3,33.8,42,72.7,69.80755894,70.35045894,65.9,0.5429,140.1580179,0
Arizona,70,Washington,67,3,137,1,118.6,19.1,33.3,37.9,96.3,17.1,26.5,25.6,36.3,56.7,73.5,72.2,15.6,17,2.7,118.6,44.9,30,19,31.6,45.5,70.1,106.1,20.3,26.5,31,100.2,18.4,33.5,25.9,32.1,49.9,75,69.1,17.1,17.3,1.2,106.1,35.5,15.64,4,29.5,49.5,70.8,81.93739316,68.85079316,70.65,-13.0866,150.7881863,1
Arizona St.,77,Washington St.,71,6,148,1,107.8,17.7,29.6,32.5,96.5,20.4,30.8,32.4,32.2,48.7,69.5,68.3,16.5,17.7,1,107.8,35,14.99,1,33,43,70.1,110.7,19.7,32.3,28.3,98.7,16.7,26.3,30,35.8,46.7,71.6,63.9,19.2,17.8,0.7,110.7,35.2,9.39,1,32.2,50.9,67.2,68.62676564,67.58946564,66.1,-1.0373,136.2162313,1
Colorado,68,Oregon,41,27,109,1,106.8,19.9,32.7,32.2,93.8,20.9,25.3,32.1,32.1,50.3,68.1,69.6,16.3,17.8,1.3,106.8,49.5,13.95,1,32.5,46.4,70.7,113.5,19.3,32.3,33.4,99.3,17.2,27,23.4,31.2,54.3,69.4,66.7,17.9,17.8,2.4,113.5,48.4,22.5,6,33.6,46.4,78.5,70.43600936,69.75380936,68.15,-0.6822,140.1898187,1
UCLA,60,USC,58,2,118,1,115.6,15.5,35.4,24.2,88.9,24.8,28.4,25.7,35.8,50.7,71.6,65.8,17.8,17.9,0.2,115.6,46.7,25.83,10,30.6,48.2,70,113,18.8,29.3,32.6,97.9,19.2,33.2,29,32.5,52.2,73.9,67.9,16.8,18.1,1.5,113,46.9,20.1,3,33.8,42,72.7,74.06791578,64.81331578,66.85,-9.2546,138.8812316,1
Utah,79,Oregon St.,60,19,139,1,109.2,18,31.8,30.5,95.5,16.3,28.8,24.6,34.7,49.6,71.6,66.3,17.7,18.3,1.3,109.2,58.9,15.63,5,28.4,43.6,65.9,100.7,21.2,23.7,34.7,103.1,18.3,30.9,33.8,33.9,46.3,73.1,63.4,18.8,18.2,1.1,100.7,21,7.63,0,32.3,49.3,71.1,71.11864874,59.17779874,64.85,-11.94085,130.2964475,1
California,92,Stanford,70,22,162,1,99.7,21.2,26.4,31.3,106.5,16.4,29.6,31.5,29.8,45.7,73.2,62.1,19.7,17.8,2,99.7,36.4,13.19,3,33.1,52.3,71.3,110.3,19.4,31.8,30.4,103.6,19.4,25.2,28.2,32.8,51.8,71.3,65.5,18.1,18.1,1.5,110.3,72.4,19.7,8,34.9,49.9,73.2,64.24943855,71.36243855,63.8,7.113,135.6118771,0
Arizona,61,Washington St.,74,-13,135,0,118.6,19.1,33.3,37.9,96.3,17.1,26.5,25.6,36.3,56.7,73.5,72.2,15.6,17,2.7,118.6,44.9,30,19,31.6,45.5,70.1,110.7,19.7,32.3,28.3,98.7,16.7,26.3,30,35.8,46.7,71.6,63.9,19.2,17.8,0.7,110.7,35.2,9.39,1,32.2,50.9,67.2,77.95645601,69.44730601,68.05,-8.50915,147.403762,1
Colorado,62,Oregon St.,42,20,104,1,106.8,19.9,32.7,32.2,93.8,20.9,25.3,32.1,32.1,50.3,68.1,69.6,16.3,17.8,1.3,106.8,49.5,13.95,1,32.5,46.4,70.7,100.7,21.2,23.7,34.7,103.1,18.3,30.9,33.8,33.9,46.3,73.1,63.4,18.8,18.2,1.1,100.7,21,7.63,0,32.3,49.3,71.1,71.29397905,59.55297905,66.5,-11.741,130.8469581,1
Utah,60,Oregon,70,-10,130,0,109.2,18,31.8,30.5,95.5,16.3,28.8,24.6,34.7,49.6,71.6,66.3,17.7,18.3,1.3,109.2,58.9,15.63,5,28.4,43.6,65.9,113.5,19.3,32.3,33.4,99.3,17.2,27,23.4,31.2,54.3,69.4,66.7,17.9,17.8,2.4,113.5,48.4,22.5,6,33.6,46.4,78.5,70.36297905,69.19547905,66.5,-1.1675,139.5584581,1
Arizona St.,73,Washington,65,8,138,1,107.8,17.7,29.6,32.5,96.5,20.4,30.8,32.4,32.2,48.7,69.5,68.3,16.5,17.7,1,107.8,35,14.99,1,33,43,70.1,106.1,20.3,26.5,31,100.2,18.4,33.5,25.9,32.1,49.9,75,69.1,17.1,17.3,1.2,106.1,35.5,15.64,4,29.5,49.5,70.8,72.29765279,67.08785279,68.7,-5.2098,139.3855056,1
Washington St.,66,California,51,15,117,1,110.7,19.7,32.3,28.3,98.7,16.7,26.3,30,35.8,46.7,71.6,63.9,19.2,17.8,0.7,110.7,35.2,9.39,1,32.2,50.9,67.2,99.7,21.2,26.4,31.3,106.5,16.4,29.6,31.5,29.8,45.7,73.2,62.1,19.7,17.8,2,99.7,36.4,13.19,3,33.1,52.3,71.3,72.21961173,58.87561173,63,-13.344,131.0952235,1
Oregon,73,Arizona St.,90,-17,163,0,113.5,19.3,32.3,33.4,99.3,17.2,27,23.4,31.2,54.3,69.4,66.7,17.9,17.8,2.4,113.5,48.4,22.5,6,33.6,46.4,78.5,107.8,17.7,29.6,32.5,96.5,20.4,30.8,32.4,32.2,48.7,69.5,68.3,16.5,17.7,1,107.8,35,14.99,1,33,43,70.1,72.41101257,68.95351257,67.5,-3.4575,141.3645251,1
