Home/Neutral,PTS,Visitor/Neutral,PTS_1,Spread,Total,Result,Home_AdjOE,Home_Off_TO,Home_Off_OR,Home_Off_FTRate,Home_AdjDE,Home_Def_TO,Home_Def_OR,Home_Def_FTRate,Home_3P,Home_2P,Home_FT,Home_Tempo_Adj,Home_Avg_Poss_Length_Offense,Home_Avg_Poss_Length_Defense,Home_EffHgt,Home_Experience,Home_Continuity,Home_Best_Rank,Home_Top_50_Finishes,Home_opp_shooting_3P,Home_opp_shooting_2P,Home_opp_shooting_FT,Away_AdjOE,Away_Off_TO,Away_Off_OR,Away_Off_FTRate,Away_AdjDE,Away_Def_TO,Away_Def_OR,Away_Def_FTRate,Away_3P,Away_2P,Away_FT,Away_Tempo_Adj,Away_Avg_Poss_Length_Offense,Away_Avg_Poss_Length_Defense,Away_EffHgt,Away_Experience,Away_Continuity,Away_Best_Rank,Away_Top_50_Finishes,Away_opp_shooting_3P,Away_opp_shooting_2P,Away_opp_shooting_FT,Predicted_score_Home,Predicted_score_away,Predicted_tempo,Predicted_spread,Predicted_total,Predicted_Result
Colorado St.,70,San Jose St.,78,-8,148,0,111.6,16,18,30.1,106.6,18.6,26.2,29.7,34.6,56.9,73.2,66.2,17.1,18.6,-1.1,111.6,44.2,7.68,1,37.2,51,73,110.7,19.2,33.6,28.3,105.1,13.1,24.1,27.8,34.5,52.2,67.3,62.7,20.1,17.8,1.1,110.7,59.6,-6.74,0,34.9,46.8,77.2,73.52503534,72.41173534,64.45,-1.1133,145.9367707,1
UNLV,67,San Diego St.,76,-9,143,0,108.9,17.3,27.8,37.1,99.8,25.9,31.6,30.3,34.5,49.7,71.2,69.5,16.2,18.2,-1.1,108.9,30.2,11.41,0,36.3,49.8,72.4,114.4,17.2,29.7,37,95.4,20.1,24.2,30.5,34.4,51.6,74,67.1,16.9,18.5,0.1,114.4,60.8,13.93,4,30,52,73.4,69.35833939,74.62003939,68.3,5.2617,143.9783788,0
Utah St.,67,Fresno St.,54,13,121,1,118.5,17.5,27.9,35.9,103.1,15.6,23.9,28.2,40.8,53.4,76.1,68.2,16.9,17.7,1.5,118.5,46.3,11.86,3,36.7,46.7,74.4,101.8,18.7,24.7,26.3,101.4,19.9,30.4,30.6,30.6,50.2,75.1,63.7,18.8,18.9,0,101.8,61,6.46,0,35.9,47.3,76.2,77.31173561,65.91923561,65.95,-11.3925,143.2309712,1
Wyoming,75,New Mexico,76,-1,151,0,108.9,18.3,24.6,32.4,108.7,16.4,24.5,24.6,35.3,52.8,68.9,65.7,17.9,18.4,0.8,108.9,56,4.69,0,36.6,53.5,78.2,114.5,16.7,29,40.4,99.9,17.9,24.8,28.1,35,53.8,73.5,71,16.2,17.3,0.1,114.5,58.6,9.96,3,30.8,51.2,69.8,72.48376606,80.82616606,68.35,8.3424,153.3099321,0
Air Force,65,Utah St.,77,-12,142,0,105,18.4,22.4,31.2,105.7,17.2,29.4,35.6,35,54.9,71.2,62.4,20,17.7,-1.9,105,56.3,0.53,1,29.1,50.7,75.4,118.5,17.5,27.9,35.9,103.1,15.6,23.9,28.2,40.8,53.4,76.1,68.2,16.9,17.7,1.5,118.5,46.3,11.86,3,36.7,46.7,74.4,68.85913883,77.87243883,65.3,9.0133,146.7315777,0
Boise St.,67,San Jose St.,64,3,131,1,108.5,16.9,25.8,28.5,91,17.9,22.3,27.7,35.7,50.7,73.5,66.8,18.2,17.5,-0.6,108.5,51.5,8.62,0,27.3,47.7,66.9,110.7,19.2,33.6,28.3,105.1,13.1,24.1,27.8,34.5,52.2,67.3,62.7,20.1,17.8,1.1,110.7,59.6,-6.74,0,34.9,46.8,77.2,71.85304539,62.64779539,64.75,-9.20525,134.5008408,1
Fresno St.,71,New Mexico,67,4,138,1,101.8,18.7,24.7,26.3,101.4,19.9,30.4,30.6,30.6,50.2,75.1,63.7,18.8,18.9,0,101.8,61,6.46,0,35.9,47.3,76.2,114.5,16.7,29,40.4,99.9,17.9,24.8,28.1,35,53.8,73.5,71,16.2,17.3,0.1,114.5,58.6,9.96,3,30.8,51.2,69.8,66.66338254,74.72708254,67.35,8.0637,141.3904651,0
Nevada,80,Colorado St.,69,11,149,1,113.1,15.7,23.7,39.5,97.6,19.1,25.1,34,33.6,51.3,79.7,65.8,17.5,18.3,0.8,113.1,44.3,9.53,2,33.8,47.7,72.6,111.6,16,18,30.1,106.6,18.6,26.2,29.7,34.6,56.9,73.2,66.2,17.1,18.6,-1.1,111.6,44.2,7.68,1,37.2,51,73,77.23721229,68.80721229,66,-8.43,146.0444246,1
Boise St.,82,Utah St.,59,23,141,1,108.5,16.9,25.8,28.5,91,17.9,22.3,27.7,35.7,50.7,73.5,66.8,18.2,17.5,-0.6,108.5,51.5,8.62,0,27.3,47.7,66.9,118.5,17.5,27.9,35.9,103.1,15.6,23.9,28.2,40.8,53.4,76.1,68.2,16.9,17.7,1.5,118.5,46.3,11.86,3,36.7,46.7,74.4,73.49101257,70.57351257,67.5,-2.9175,144.0645251,1
Colorado St.,79,Fresno St.,57,22,136,1,111.6,16,18,30.1,106.6,18.6,26.2,29.7,34.6,56.9,73.2,66.2,17.1,18.6,-1.1,111.6,44.2,7.68,1,37.2,51,73,101.8,18.7,24.7,26.3,101.4,19.9,30.4,30.6,30.6,50.2,75.1,63.7,18.8,18.9,0,101.8,61,6.46,0,35.9,47.3,76.2,71.68065209,67.19295209,64.95,-4.4877,138.8736042,1
New Mexico,77,UNLV,84,-7,161,0,114.5,16.7,29,40.4,99.9,17.9,24.8,28.1,35,53.8,73.5,71,16.2,17.3,0.1,114.5,58.6,9.96,3,30.8,51.2,69.8,108.9,17.3,27.8,37.1,99.8,25.9,31.6,30.3,34.5,49.7,71.2,69.5,16.2,18.2,-1.1,108.9,30.2,11.41,0,36.3,49.8,72.4,78.32072975,72.95697975,70.25,-5.36375,151.2777095,1
San Jose St.,40,Nevada,67,-27,107,0,110.7,19.2,33.6,28.3,105.1,13.1,24.1,27.8,34.5,52.2,67.3,62.7,20.1,17.8,1.1,110.7,59.6,-6.74,0,34.9,46.8,77.2,113.1,15.7,23.7,39.5,97.6,19.1,25.1,34,33.6,51.3,79.7,65.8,17.5,18.3,0.8,113.1,44.3,9.53,2,33.8,47.7,72.6,67.90452863,72.76527863,64.25,4.86075,140.6698073,0
Wyoming,75,San Diego St.,80,-5,155,0,108.9,18.3,24.6,32.4,108.7,16.4,24.5,24.6,35.3,52.8,68.9,65.7,17.9,18.4,0.8,108.9,56,4.69,0,36.6,53.5,78.2,114.4,17.2,29.7,37,95.4,20.1,24.2,30.5,34.4,51.6,74,67.1,16.9,18.5,0.1,114.4,60.8,13.93,4,30,52,73.4,67.4706257,78.4538257,66.4,10.9832,145.9244514,0
Colorado St.,74,Air Force,85,-11,159,0,111.6,16,18,30.1,106.6,18.6,26.2,29.7,34.6,56.9,73.2,66.2,17.1,18.6,-1.1,111.6,44.2,7.68,1,37.2,51,73,105,18.4,22.4,31.2,105.7,17.2,29.4,35.6,35,54.9,71.2,62.4,20,17.7,-1.9,105,56.3,0.53,1,29.1,50.7,75.4,73.74320531,68.57810531,64.3,-5.1651,142.3213106,1
San Diego St.,74,Nevada,65,9,139,1,114.4,17.2,29.7,37,95.4,20.1,24.2,30.5,34.4,51.6,74,67.1,16.9,18.5,0.1,114.4,60.8,13.93,4,30,52,73.4,113.1,15.7,23.7,39.5,97.6,19.1,25.1,34,33.6,51.3,79.7,65.8,17.5,18.3,0.8,113.1,44.3,9.53,2,33.8,47.7,72.6,72.63695237,68.81120237,66.45,-3.82575,141.4481547,1
San Jose St.,74,Fresno St.,64,10,138,1,110.7,19.2,33.6,28.3,105.1,13.1,24.1,27.8,34.5,52.2,67.3,62.7,20.1,17.8,1.1,110.7,59.6,-6.74,0,34.9,46.8,77.2,101.8,18.7,24.7,26.3,101.4,19.9,30.4,30.6,30.6,50.2,75.1,63.7,18.8,18.9,0,101.8,61,6.46,0,35.9,47.3,76.2,69.22091844,64.43451844,63.2,-4.7864,133.6554369,1
Utah St.,83,Wyoming,63,20,146,1,118.5,17.5,27.9,35.9,103.1,15.6,23.9,28.2,40.8,53.4,76.1,68.2,16.9,17.7,1.5,118.5,46.3,11.86,3,36.7,46.7,74.4,108.9,18.3,24.6,32.4,108.7,16.4,24.5,24.6,35.3,52.8,68.9,65.7,17.9,18.4,0.8,108.9,56,4.69,0,36.6,53.5,78.2,83.34861913,71.67221913,66.95,-11.6764,155.0208383,1
UNLV,66,Boise St.,84,-18,150,0,108.9,17.3,27.8,37.1,99.8,25.9,31.6,30.3,34.5,49.7,71.2,69.5,16.2,18.2,-1.1,108.9,30.2,11.41,0,36.3,49.8,72.4,108.5,16.9,25.8,28.5,91,17.9,22.3,27.7,35.7,50.7,73.5,66.8,18.2,17.5,-0.6,108.5,51.5,8.62,0,27.3,47.7,66.9,66.21070936,70.43530936,68.15,4.2246,136.6460187,0
Nevada,85,Utah St.,70,15,155,1,113.1,15.7,23.7,39.5,97.6,19.1,25.1,34,33.6,51.3,79.7,65.8,17.5,18.3,0.8,113.1,44.3,9.53,2,33.8,47.7,72.6,118.5,17.5,27.9,35.9,103.1,15.6,23.9,28.2,40.8,53.4,76.1,68.2,16.9,17.7,1.5,118.5,46.3,11.86,3,36.7,46.7,74.4,76.03974581,74.47274581,67,-1.567,150.5124916,1
Fresno St.,48,Air Force,51,-3,99,0,101.8,18.7,24.7,26.3,101.4,19.9,30.4,30.6,30.6,50.2,75.1,63.7,18.8,18.9,0,101.8,61,6.46,0,35.9,47.3,76.2,105,18.4,22.4,31.2,105.7,17.2,29.4,35.6,35,54.9,71.2,62.4,20,17.7,-1.9,105,56.3,0.53,1,29.1,50.7,75.4,66.15988841,63.96633841,63.05,-2.19355,130.1262268,1
UNLV,81,Colorado St.,82,-1,163,0,108.9,17.3,27.8,37.1,99.8,25.9,31.6,30.3,34.5,49.7,71.2,69.5,16.2,18.2,-1.1,108.9,30.2,11.41,0,36.3,49.8,72.4,111.6,16,18,30.1,106.6,18.6,26.2,29.7,34.6,56.9,73.2,66.2,17.1,18.6,-1.1,111.6,44.2,7.68,1,37.2,51,73,76.5104493,72.2285993,67.85,-4.28185,148.7390486,1
San Diego St.,67,New Mexico,76,-9,143,0,114.4,17.2,29.7,37,95.4,20.1,24.2,30.5,34.4,51.6,74,67.1,16.9,18.5,0.1,114.4,60.8,13.93,4,30,52,73.4,114.5,16.7,29,40.4,99.9,17.9,24.8,28.1,35,53.8,73.5,71,16.2,17.3,0.1,114.5,58.6,9.96,3,30.8,51.2,69.8,77.00848953,72.47028953,69.05,-4.5382,149.4787791,1
Wyoming,68,Boise St.,85,-17,153,0,108.9,18.3,24.6,32.4,108.7,16.4,24.5,24.6,35.3,52.8,68.9,65.7,17.9,18.4,0.8,108.9,56,4.69,0,36.6,53.5,78.2,108.5,16.9,25.8,28.5,91,17.9,22.3,27.7,35.7,50.7,73.5,66.8,18.2,17.5,-0.6,108.5,51.5,8.62,0,27.3,47.7,66.9,64.40659567,74.36784567,66.25,9.96125,138.7744413,0
Air Force,82,Wyoming,74,8,156,1,105,18.4,22.4,31.2,105.7,17.2,29.4,35.6,35,54.9,71.2,62.4,20,17.7,-1.9,105,56.3,0.53,1,29.1,50.7,75.4,108.9,18.3,24.6,32.4,108.7,16.4,24.5,24.6,35.3,52.8,68.9,65.7,17.9,18.4,0.8,108.9,56,4.69,0,36.6,53.5,78.2,71.15652193,70.23297193,64.05,-0.92355,141.3894939,1
Boise St.,77,Nevada,62,15,139,1,108.5,16.9,25.8,28.5,91,17.9,22.3,27.7,35.7,50.7,73.5,66.8,18.2,17.5,-0.6,108.5,51.5,8.62,0,27.3,47.7,66.9,113.1,15.7,23.7,39.5,97.6,19.1,25.1,34,33.6,51.3,79.7,65.8,17.5,18.3,0.8,113.1,44.3,9.53,2,33.8,47.7,72.6,68.56467235,65.73867235,66.3,-2.826,134.3033447,1
New Mexico,77,San Jose St.,57,20,134,1,114.5,16.7,29,40.4,99.9,17.9,24.8,28.1,35,53.8,73.5,71,16.2,17.3,0.1,114.5,58.6,9.96,3,30.8,51.2,69.8,110.7,19.2,33.6,28.3,105.1,13.1,24.1,27.8,34.5,52.2,67.3,62.7,20.1,17.8,1.1,110.7,59.6,-6.74,0,34.9,46.8,77.2,78.14576578,70.62926578,66.85,-7.5165,148.7750316,1
Utah St.,75,UNLV,71,4,146,1,118.5,17.5,27.9,35.9,103.1,15.6,23.9,28.2,40.8,53.4,76.1,68.2,16.9,17.7,1.5,118.5,46.3,11.86,3,36.7,46.7,74.4,108.9,17.3,27.8,37.1,99.8,25.9,31.6,30.3,34.5,49.7,71.2,69.5,16.2,18.2,-1.1,108.9,30.2,11.41,0,36.3,49.8,72.4,79.54378282,73.70623282,68.85,-5.83755,153.2500156,1
Colorado St.,76,San Diego St.,82,-6,158,0,111.6,16,18,30.1,106.6,18.6,26.2,29.7,34.6,56.9,73.2,66.2,17.1,18.6,-1.1,111.6,44.2,7.68,1,37.2,51,73,114.4,17.2,29.7,37,95.4,20.1,24.2,30.5,34.4,51.6,74,67.1,16.9,18.5,0.1,114.4,60.8,13.93,4,30,52,73.4,69.51855908,77.34955908,66.65,7.831,146.8681182,0
New Mexico,81,Boise St.,79,2,160,1,114.5,16.7,29,40.4,99.9,17.9,24.8,28.1,35,53.8,73.5,71,16.2,17.3,0.1,114.5,58.6,9.96,3,30.8,51.2,69.8,108.5,16.9,25.8,28.5,91,17.9,22.3,27.7,35.7,50.7,73.5,66.8,18.2,17.5,-0.6,108.5,51.5,8.62,0,27.3,47.7,66.9,70.7812595,71.2793595,68.9,0.4981,142.060619,0
Air Force,60,San Diego St.,70,-10,130,0,105,18.4,22.4,31.2,105.7,17.2,29.4,35.6,35,54.9,71.2,62.4,20,17.7,-1.9,105,56.3,0.53,1,29.1,50.7,75.4,114.4,17.2,29.7,37,95.4,20.1,24.2,30.5,34.4,51.6,74,67.1,16.9,18.5,0.1,114.4,60.8,13.93,4,30,52,73.4,63.30604539,74.56179539,64.75,11.25575,137.8678408,0
Fresno St.,76,UNLV,63,13,139,1,101.8,18.7,24.7,26.3,101.4,19.9,30.4,30.6,30.6,50.2,75.1,63.7,18.8,18.9,0,101.8,61,6.46,0,35.9,47.3,76.2,108.9,17.3,27.8,37.1,99.8,25.9,31.6,30.3,34.5,49.7,71.2,69.5,16.2,18.2,-1.1,108.9,30.2,11.41,0,36.3,49.8,72.4,65.8711324,70.1653324,66.6,4.2942,136.0364648,0
Utah St.,75,San Jose St.,74,1,149,1,118.5,17.5,27.9,35.9,103.1,15.6,23.9,28.2,40.8,53.4,76.1,68.2,16.9,17.7,1.5,118.5,46.3,11.86,3,36.7,46.7,74.4,110.7,19.2,33.6,28.3,105.1,13.1,24.1,27.8,34.5,52.2,67.3,62.7,20.1,17.8,1.1,110.7,59.6,-6.74,0,34.9,46.8,77.2,79.15861885,71.24451885,65.45,-7.9141,150.4031377,1
Wyoming,58,Colorado St.,57,1,115,1,108.9,18.3,24.6,32.4,108.7,16.4,24.5,24.6,35.3,52.8,68.9,65.7,17.9,18.4,0.8,108.9,56,4.69,0,36.6,53.5,78.2,111.6,16,18,30.1,106.6,18.6,26.2,29.7,34.6,56.9,73.2,66.2,17.1,18.6,-1.1,111.6,44.2,7.68,1,37.2,51,73,74.40993561,76.07553561,65.95,1.6656,150.4854712,0
Nevada,97,New Mexico,94,3,191,1,113.1,15.7,23.7,39.5,97.6,19.1,25.1,34,33.6,51.3,79.7,65.8,17.5,18.3,0.8,113.1,44.3,9.53,2,33.8,47.7,72.6,114.5,16.7,29,40.4,99.9,17.9,24.8,28.1,35,53.8,73.5,71,16.2,17.3,0.1,114.5,58.6,9.96,3,30.8,51.2,69.8,75.40849274,73.29289274,68.4,-2.1156,148.7013855,1
Boise St.,63,Fresno St.,53,10,116,1,108.5,16.9,25.8,28.5,91,17.9,22.3,27.7,35.7,50.7,73.5,66.8,18.2,17.5,-0.6,108.5,51.5,8.62,0,27.3,47.7,66.9,101.8,18.7,24.7,26.3,101.4,19.9,30.4,30.6,30.6,50.2,75.1,63.7,18.8,18.9,0,101.8,61,6.46,0,35.9,47.3,76.2,69.98206215,57.32431215,65.25,-12.65775,127.3063743,1
UNLV,86,Wyoming,72,14,158,1,108.9,17.3,27.8,37.1,99.8,25.9,31.6,30.3,34.5,49.7,71.2,69.5,16.2,18.2,-1.1,108.9,30.2,11.41,0,36.3,49.8,72.4,108.9,18.3,24.6,32.4,108.7,16.4,24.5,24.6,35.3,52.8,68.9,65.7,17.9,18.4,0.8,108.9,56,4.69,0,36.6,53.5,78.2,77.65366592,70.13726592,67.6,-7.5164,147.7909318,1
San Jose St.,82,Air Force,52,30,134,1,110.7,19.2,33.6,28.3,105.1,13.1,24.1,27.8,34.5,52.2,67.3,62.7,20.1,17.8,1.1,110.7,59.6,-6.74,0,34.9,46.8,77.2,105,18.4,22.4,31.2,105.7,17.2,29.4,35.6,35,54.9,71.2,62.4,20,17.7,-1.9,105,56.3,0.53,1,29.1,50.7,75.4,71.21407165,65.77342165,62.55,-5.44065,136.9874933,1
San Diego St.,85,Utah St.,75,10,160,1,114.4,17.2,29.7,37,95.4,20.1,24.2,30.5,34.4,51.6,74,67.1,16.9,18.5,0.1,114.4,60.8,13.93,4,30,52,73.4,118.5,17.5,27.9,35.9,103.1,15.6,23.9,28.2,40.8,53.4,76.1,68.2,16.9,17.7,1.5,118.5,46.3,11.86,3,36.7,46.7,74.4,77.6423426,73.7069426,67.65,-3.9354,151.3492852,1
New Mexico,81,Air Force,73,8,154,1,114.5,16.7,29,40.4,99.9,17.9,24.8,28.1,35,53.8,73.5,71,16.2,17.3,0.1,114.5,58.6,9.96,3,30.8,51.2,69.8,105,18.4,22.4,31.2,105.7,17.2,29.4,35.6,35,54.9,71.2,62.4,20,17.7,-1.9,105,56.3,0.53,1,29.1,50.7,75.4,78.37398575,66.66888575,66.7,-11.7051,145.0428715,1
Boise St.,80,Colorado St.,59,21,139,1,108.5,16.9,25.8,28.5,91,17.9,22.3,27.7,35.7,50.7,73.5,66.8,18.2,17.5,-0.6,108.5,51.5,8.62,0,27.3,47.7,66.9,111.6,16,18,30.1,106.6,18.6,26.2,29.7,34.6,56.9,73.2,66.2,17.1,18.6,-1.1,111.6,44.2,7.68,1,37.2,51,73,74.75197905,64.93947905,66.5,-9.8125,139.6914581,1
Fresno St.,53,Utah St.,70,-17,123,0,101.8,18.7,24.7,26.3,101.4,19.9,30.4,30.6,30.6,50.2,75.1,63.7,18.8,18.9,0,101.8,61,6.46,0,35.9,47.3,76.2,118.5,17.5,27.9,35.9,103.1,15.6,23.9,28.2,40.8,53.4,76.1,68.2,16.9,17.7,1.5,118.5,46.3,11.86,3,36.7,46.7,74.4,67.41923561,75.81173561,65.95,8.3925,143.2309712,0
UNLV,68,Nevada,62,6,130,1,108.9,17.3,27.8,37.1,99.8,25.9,31.6,30.3,34.5,49.7,71.2,69.5,16.2,18.2,-1.1,108.9,30.2,11.41,0,36.3,49.8,72.4,113.1,15.7,23.7,39.5,97.6,19.1,25.1,34,33.6,51.3,79.7,65.8,17.5,18.3,0.8,113.1,44.3,9.53,2,33.8,47.7,72.6,70.2008426,73.0304426,67.65,2.8296,143.2312852,0
San Diego St.,72,San Jose St.,51,21,123,1,114.4,17.2,29.7,37,95.4,20.1,24.2,30.5,34.4,51.6,74,67.1,16.9,18.5,0.1,114.4,60.8,13.93,4,30,52,73.4,110.7,19.2,33.6,28.3,105.1,13.1,24.1,27.8,34.5,52.2,67.3,62.7,20.1,17.8,1.1,110.7,59.6,-6.74,0,34.9,46.8,77.2,75.84512542,65.64852542,64.9,-10.1966,141.4936508,1
Air Force,52,Boise St.,59,-7,111,0,105,18.4,22.4,31.2,105.7,17.2,29.4,35.6,35,54.9,71.2,62.4,20,17.7,-1.9,105,56.3,0.53,1,29.1,50.7,75.4,108.5,16.9,25.8,28.5,91,17.9,22.3,27.7,35.7,50.7,73.5,66.8,18.2,17.5,-0.6,108.5,51.5,8.62,0,27.3,47.7,66.9,60.32046536,70.57766536,64.6,10.2572,130.8981307,0
Colorado St.,71,UNLV,83,-12,154,0,111.6,16,18,30.1,106.6,18.6,26.2,29.7,34.6,56.9,73.2,66.2,17.1,18.6,-1.1,111.6,44.2,7.68,1,37.2,51,73,108.9,17.3,27.8,37.1,99.8,25.9,31.6,30.3,34.5,49.7,71.2,69.5,16.2,18.2,-1.1,108.9,30.2,11.41,0,36.3,49.8,72.4,73.7285993,75.0104493,67.85,1.28185,148.7390486,0
Nevada,75,San Diego St.,66,9,141,1,113.1,15.7,23.7,39.5,97.6,19.1,25.1,34,33.6,51.3,79.7,65.8,17.5,18.3,0.8,113.1,44.3,9.53,2,33.8,47.7,72.6,114.4,17.2,29.7,37,95.4,20.1,24.2,30.5,34.4,51.6,74,67.1,16.9,18.5,0.1,114.4,60.8,13.93,4,30,52,73.4,70.31120237,71.13695237,66.45,0.82575,141.4481547,0
Wyoming,85,Fresno St.,62,23,147,1,108.9,18.3,24.6,32.4,108.7,16.4,24.5,24.6,35.3,52.8,68.9,65.7,17.9,18.4,0.8,108.9,56,4.69,0,36.6,53.5,78.2,101.8,18.7,24.7,26.3,101.4,19.9,30.4,30.6,30.6,50.2,75.1,63.7,18.8,18.9,0,101.8,61,6.46,0,35.9,47.3,76.2,69.66361872,68.29301872,64.7,-1.3706,137.9566374,1
Utah St.,84,New Mexico,73,11,157,1,118.5,17.5,27.9,35.9,103.1,15.6,23.9,28.2,40.8,53.4,76.1,68.2,16.9,17.7,1.5,118.5,46.3,11.86,3,36.7,46.7,74.4,114.5,16.7,29,40.4,99.9,17.9,24.8,28.1,35,53.8,73.5,71,16.2,17.3,0.1,114.5,58.6,9.96,3,30.8,51.2,69.8,80.46353296,78.40673296,69.6,-2.0568,158.8702659,1
Nevada,72,Air Force,52,20,124,1,113.1,15.7,23.7,39.5,97.6,19.1,25.1,34,33.6,51.3,79.7,65.8,17.5,18.3,0.8,113.1,44.3,9.53,2,33.8,47.7,72.6,105,18.4,22.4,31.2,105.7,17.2,29.4,35.6,35,54.9,71.2,62.4,20,17.7,-1.9,105,56.3,0.53,1,29.1,50.7,75.4,74.4799986,62.5957986,64.1,-11.8842,137.0757972,1
UNLV,79,Fresno St.,82,-3,161,0,108.9,17.3,27.8,37.1,99.8,25.9,31.6,30.3,34.5,49.7,71.2,69.5,16.2,18.2,-1.1,108.9,30.2,11.41,0,36.3,49.8,72.4,101.8,18.7,24.7,26.3,101.4,19.9,30.4,30.6,30.6,50.2,75.1,63.7,18.8,18.9,0,101.8,61,6.46,0,35.9,47.3,76.2,71.6653324,64.3711324,66.6,-7.2942,136.0364648,1
San Diego St.,72,Boise St.,52,20,124,1,114.4,17.2,29.7,37,95.4,20.1,24.2,30.5,34.4,51.6,74,67.1,16.9,18.5,0.1,114.4,60.8,13.93,4,30,52,73.4,108.5,16.9,25.8,28.5,91,17.9,22.3,27.7,35.7,50.7,73.5,66.8,18.2,17.5,-0.6,108.5,51.5,8.62,0,27.3,47.7,66.9,68.75351913,66.24926913,66.95,-2.50425,135.0027883,1
Colorado St.,79,Utah St.,88,-9,167,0,111.6,16,18,30.1,106.6,18.6,26.2,29.7,34.6,56.9,73.2,66.2,17.1,18.6,-1.1,111.6,44.2,7.68,1,37.2,51,73,118.5,17.5,27.9,35.9,103.1,15.6,23.9,28.2,40.8,53.4,76.1,68.2,16.9,17.7,1.5,118.5,46.3,11.86,3,36.7,46.7,74.4,75.25425251,80.74305251,67.2,5.4888,155.997305,0
San Jose St.,84,Wyoming,64,20,148,1,110.7,19.2,33.6,28.3,105.1,13.1,24.1,27.8,34.5,52.2,67.3,62.7,20.1,17.8,1.1,110.7,59.6,-6.74,0,34.9,46.8,77.2,108.9,18.3,24.6,32.4,108.7,16.4,24.5,24.6,35.3,52.8,68.9,65.7,17.9,18.4,0.8,108.9,56,4.69,0,36.6,53.5,78.2,74.97905196,70.01225196,64.2,-4.9668,144.9913039,1
Clemson,77,Wake Forest,57,20,134,1,109.1,16.9,22.6,32.2,98,17.1,24.7,31.3,36.4,52.5,80.3,68.1,17.1,18.2,0.8,109.1,47,17.2,7,32.3,44.9,73.6,115.2,16.3,24.6,34.8,103.6,17.7,26,27.8,36.9,53.6,74.8,69.7,17.1,17.1,2.8,115.2,23.3,14.59,6,34.1,50.9,71.1,75.7420595,74.5865595,68.9,-1.1555,150.328619,1
N.C. State,60,Pittsburgh,68,-8,128,0,112.8,13.8,31.1,28.4,98.7,19.3,25.6,34.5,34.9,50.5,72.2,69.2,16.8,17.6,0.8,112.8,35.6,17.32,3,30.8,50.1,71.7,112.6,17.7,30,30.1,99.8,17.3,28.1,28.5,36.1,52.4,76,66.7,17.3,17.9,1.2,112.6,22.1,18.22,11,31.8,46.6,68.3,74.65045265,72.26710265,67.95,-2.38335,146.9175553,1
Duke,75,Boston College,59,16,134,1,112,18.8,37.9,30,95.6,17.4,26.6,22.7,32.3,49.9,76.3,65.5,18.1,17.8,3,112,14.8,46.57,25,30.3,47,77.3,101.7,17.8,27.6,27.7,102.4,19.8,28.6,27.1,29.6,49,72.1,66.1,17.8,18.1,0.1,101.7,58.8,10.79,3,37.1,49.7,72.1,73.52030559,60.76850559,65.8,-12.7518,134.2888112,1
Notre Dame,61,Syracuse,62,-1,123,0,109.9,13.6,20.5,23,110.5,14,25.2,23.7,36.7,51,75,64.2,19.1,17.6,0,109.9,54.4,20.34,6,34.9,53,77,111.9,17.1,30.5,30.3,103.2,19.5,33.7,23.7,36.2,51.7,73.5,67,17,18.2,1.7,111.9,38.3,23.48,10,34,48.4,67.8,72.44859888,77.04939888,65.6,4.6008,149.4979978,0
Virginia,62,Florida St.,57,5,119,1,115.4,14.5,26.4,36.6,94.5,19.6,25.8,25,38,50.3,72.3,61.7,19.4,18.5,0.4,115.4,70.8,24.73,8,34,45.8,74.2,107.3,17.8,25.8,31.9,107.8,17.2,32.3,30,34.7,49,72.5,68.9,16.3,18.6,1.4,107.3,42.2,21.86,5,36.7,50.1,74.8,78.71943883,63.24523883,65.3,-15.4742,141.9646777,1
Louisville,53,Miami FL,80,-27,133,0,98.8,23.4,27.7,33.9,109.9,16.8,29.3,29.8,33.1,45.6,72.3,67.1,18.3,16.8,1,98.8,27.7,26.67,16,35.7,54.7,71.6,118.9,16.8,32.5,29.6,101.6,18.8,30.7,24.6,36.1,54.8,76.8,68.3,17,18.2,-0.7,118.9,47.2,18.43,3,32.4,49.6,74.2,66.12191927,83.84871927,67.7,17.7268,149.9706385,0
Virginia Tech,80,North Carolina,72,8,152,1,114.1,15.5,26,25.2,99.7,16.9,26.5,25.6,35.5,54.7,73.9,66.6,17.7,18.1,0.4,114.1,43.9,15.26,2,32.4,48.5,71.5,113.6,15.3,30.1,39.1,97.7,15.5,23.7,26,30.5,51.6,73.8,69.3,16.5,17.6,2.3,113.6,69.5,33.75,19,33.5,48.5,69.5,74.10685265,73.62610265,67.95,-0.48075,147.7329553,1
Florida St.,75,Louisville,53,22,128,1,107.3,17.8,25.8,31.9,107.8,17.2,32.3,30,34.7,49,72.5,68.9,16.3,18.6,1.4,107.3,42.2,21.86,5,36.7,50.1,74.8,98.8,23.4,27.7,33.9,109.9,16.8,29.3,29.8,33.1,45.6,72.3,67.1,18.3,16.8,1,98.8,27.7,26.67,16,35.7,54.7,71.6,77.83227933,69.12427933,68,-8.708,146.9565587,1
